mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
W,OUTSIDE,H4,H4,AUDCAD,long,2018-12-31,2019-01-07,0.90969,0.95127,0.04157999999999995,2019-01-09 02:00:00,2019-01-09 06:00:00,0.9458,0.94606,2019-01-24 18:00:00,0.94712,0.9928499999999999,0.905532,2019-07-30 13:00:00,0.905532,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,112.82636363636368,1.6
W,OUTSIDE,H4,H4,AUDCAD,long,2019-08-05,2019-08-12,0.88898,0.8973,0.008319999999999994,2019-08-12 09:00:00,2019-08-12 13:00:00,0.89222,0.89249,2019-08-25 21:00:00,0.89412,0.90562,0.8858666060606061,2019-09-11 13:00:00,0.90562,win,1.3933661817727832,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,82.53393939393933,1.6
W,OUTSIDE,H4,H4,AUDCAD,long,2019-10-07,2019-10-14,0.88809,0.8969,0.008809999999999985,2019-10-17 17:00:00,2019-10-17 21:00:00,0.89609,0.89618,2019-10-23 01:00:00,0.89666,0.90571,0.887209,2019-10-30 13:00:00,0.90571,win,0.9575706274468326,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,91.1051515151514,1.6
W,OUTSIDE,H4,H4,AUDCAD,long,2022-09-05,2022-09-12,0.88172,0.8912,0.009480000000000044,2022-09-15 17:00:00,2022-09-15 21:00:00,0.88582,0.88616,2022-09-23 17:00:00,0.888,0.90068,0.8768488181818183,2022-10-04 13:00:00,0.8768488181818183,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,111.51181818181806,1.6
W,OUTSIDE,H4,H4,AUDCAD,short,2017-02-27,2017-03-06,1.016125,1.02541,0.009284999999999988,2017-03-07 14:00:00,2017-03-07 18:00:00,1.02017,1.02068,2017-03-13 05:00:00,1.01882,1.00684,1.0302109393939394,2017-03-20 05:00:00,1.0302109393939394,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,113.90939393939394,1.6
W,OUTSIDE,H4,H4,AUDCAD,short,2017-11-20,2017-11-27,0.96812,0.97848,0.010360000000000036,2017-12-01 14:00:00,2017-12-01 18:00:00,0.96917,0.97101,2017-12-05 02:00:00,0.968495,0.95776,0.979516,2017-12-13 14:00:00,0.979516,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,102.46666666666681,1.6
W,OUTSIDE,H4,H4,AUDCAD,short,2018-12-10,2018-12-17,0.96046,0.97032,0.00985999999999998,2018-12-21 10:00:00,2018-12-21 14:00:00,0.96176,0.96288,2018-12-28 10:00:00,0.96172,0.9506,0.9724641515151515,2019-01-02 14:00:00,0.9506,win,1.0349816813657629,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,107.44151515151509,1.6
W,OUTSIDE,H4,H4,AUDCAD,short,2021-04-12,2021-04-19,0.96752,0.97593,0.008409999999999918,2021-04-21 21:00:00,2021-04-22 01:00:00,0.97001,0.9701,2021-04-26 09:00:00,0.96982,0.9591100000000001,0.9800490000000001,2021-04-28 13:00:00,0.9591100000000001,win,1.0470231694202643,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,102.29000000000002,1.6
W,OUTSIDE,H4,H4,AUDCHF,long,2018-02-12,2018-02-19,0.72764,0.733595,0.005955000000000044,2018-02-23 06:00:00,2018-02-23 10:00:00,0.72992,0.73,2018-03-01 02:00:00,0.730415,0.73955,0.7208266363636364,2018-03-08 14:00:00,0.73955,win,0.9527173088592235,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,95.88363636363638,1.6
W,OUTSIDE,H4,H4,AUDCHF,long,2019-08-05,2019-08-12,0.65084,0.6601,0.009260000000000046,2019-08-13 09:00:00,2019-08-13 13:00:00,0.65238,0.6529,2019-08-25 21:00:00,0.65482,0.6693600000000001,0.645061610738255,2019-09-04 01:00:00,0.6693600000000001,win,1.49,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,82.21303030303037,1.6
