time,open,high,low,close
2004-05-31T11:00:00+02:00,1.7039,1.7039,1.7039,1.7039
2004-06-01T11:00:00+02:00,1.7039,1.7308,1.7039,1.7308
2004-06-02T11:00:00+02:00,1.7308,1.7549,1.7308,1.7549
2004-06-03T11:00:00+02:00,1.7549,1.7752,1.7549,1.7752
2004-06-04T11:00:00+02:00,1.7752,1.7752,1.7659,1.7659
2004-06-07T11:00:00+02:00,1.7651,1.7651,1.7424,1.7424
2004-06-08T11:00:00+02:00,1.7424,1.7507,1.7424,1.7507
2004-06-09T11:00:00+02:00,1.7507,1.7507,1.7459,1.7459
2004-06-10T11:00:00+02:00,1.7459,1.7459,1.7362,1.7362
2004-06-11T11:00:00+02:00,1.7362,1.7362,1.7351,1.7351
2004-06-14T11:00:00+02:00,1.733,1.754,1.733,1.754
2004-06-15T11:00:00+02:00,1.754,1.754,1.7437,1.7437
2004-06-16T11:00:00+02:00,1.7437,1.7437,1.7423,1.7423
2004-06-17T11:00:00+02:00,1.7423,1.76695,1.7423,1.76695
2004-06-18T11:00:00+02:00,1.76695,1.76695,1.7622,1.7622
2004-06-21T11:00:00+02:00,1.7609,1.7609,1.7553,1.7553
2004-06-22T11:00:00+02:00,1.7553,1.7606,1.7553,1.7606
2004-06-23T11:00:00+02:00,1.7606,1.7606,1.7578,1.7578
2004-06-24T11:00:00+02:00,1.7578,1.7578,1.73925,1.73925
2004-06-25T11:00:00+02:00,1.73925,1.73925,1.7381,1.7381
2004-06-28T11:00:00+02:00,1.7387,1.742,1.7387,1.742
2004-06-29T11:00:00+02:00,1.742,1.75055,1.742,1.75055
2004-06-30T11:00:00+02:00,1.75055,1.75055,1.7445,1.7445
2004-07-01T11:00:00+02:00,1.7445,1.7445,1.7249,1.7249
2004-07-02T11:00:00+02:00,1.7249,1.7264,1.7249,1.7264
2004-07-05T11:00:00+02:00,1.7279,1.7279,1.7268,1.7268
2004-07-06T11:00:00+02:00,1.7268,1.7268,1.7225,1.7225
2004-07-07T11:00:00+02:00,1.7225,1.7225,1.71085,1.71085
2004-07-08T11:00:00+02:00,1.71085,1.72035,1.71085,1.72035
2004-07-09T11:00:00+02:00,1.72035,1.72035,1.7193,1.7193
2004-07-12T11:00:00+02:00,1.7163,1.7163,1.7057,1.7057
2004-07-13T11:00:00+02:00,1.7057,1.7057,1.70045,1.70045
2004-07-14T11:00:00+02:00,1.70045,1.7108,1.70045,1.7108
2004-07-15T11:00:00+02:00,1.7108,1.7108,1.7094,1.7094
2004-07-16T11:00:00+02:00,1.7094,1.7094,1.7005,1.7005
2004-07-19T11:00:00+02:00,1.6994,1.6998,1.6994,1.6998
2004-07-20T11:00:00+02:00,1.6998,1.6998,1.6945,1.6945
2004-07-21T11:00:00+02:00,1.6945,1.71395,1.6945,1.71395
2004-07-22T11:00:00+02:00,1.71395,1.7146,1.71395,1.7146
2004-07-23T11:00:00+02:00,1.7146,1.7146,1.7046,1.7046
2004-07-26T11:00:00+02:00,1.7068,1.7119,1.7068,1.7119
2004-07-27T11:00:00+02:00,1.7119,1.7242,1.7119,1.7242
2004-07-28T11:00:00+02:00,1.7242,1.7242,1.7227,1.7227
2004-07-29T11:00:00+02:00,1.7227,1.7227,1.722,1.722
2004-07-30T11:00:00+02:00,1.722,1.722,1.7102,1.7102
2004-08-02T11:00:00+02:00,1.7135,1.7135,1.70975,1.70975
2004-08-03T11:00:00+02:00,1.70975,1.70975,1.70575,1.70575
2004-08-04T11:00:00+02:00,1.70575,1.71195,1.70575,1.71195
2004-08-05T11:00:00+02:00,1.71195,1.7133,1.71195,1.7133
2004-08-06T11:00:00+02:00,1.7133,1.7207,1.7133,1.7207
2004-08-09T11:00:00+02:00,1.7198,1.7198,1.71545,1.71545
2004-08-10T11:00:00+02:00,1.71545,1.71585,1.71545,1.71585
2004-08-11T11:00:00+02:00,1.71585,1.71585,1.70845,1.70845
2004-08-12T11:00:00+02:00,1.70845,1.71435,1.70845,1.71435
2004-08-13T11:00:00+02:00,1.71435,1.7259,1.71435,1.7259
2004-08-16T11:00:00+02:00,1.7293,1.7293,1.72135,1.72135
2004-08-17T11:00:00+02:00,1.72135,1.72665,1.72135,1.72665
2004-08-18T11:00:00+02:00,1.72665,1.72665,1.72315,1.72315
2004-08-19T11:00:00+02:00,1.72315,1.72315,1.70605,1.70605
2004-08-20T11:00:00+02:00,1.70605,1.70605,1.7021,1.7021
2004-08-23T11:00:00+02:00,1.7017,1.7017,1.7017,1.7017
2004-08-24T11:00:00+02:00,1.7017,1.7145,1.7017,1.7145
2004-08-25T11:00:00+02:00,1.7145,1.7145,1.7119,1.7119
2004-08-26T11:00:00+02:00,1.7119,1.7201,1.7119,1.7201
2004-08-27T11:00:00+02:00,1.7201,1.7201,1.7098,1.7098
2004-08-30T11:00:00+02:00,1.7127,1.7215,1.7127,1.7215
2004-08-31T11:00:00+02:00,1.7215,1.7301,1.7215,1.7301
2004-09-01T11:00:00+02:00,1.7301,1.7328,1.7301,1.7328
2004-09-02T11:00:00+02:00,1.7328,1.7454,1.7328,1.7454
2004-09-03T11:00:00+02:00,1.7454,1.7454,1.7444,1.7444
2004-09-06T11:00:00+02:00,1.7432,1.7432,1.7422,1.7422
2004-09-07T11:00:00+02:00,1.7422,1.7431,1.7422,1.7431
2004-09-08T11:00:00+02:00,1.7431,1.7492,1.7431,1.7492
2004-09-09T11:00:00+02:00,1.7492,1.7739,1.7492,1.7739
2004-09-10T11:00:00+02:00,1.7739,1.7739,1.7635,1.7635
2004-09-13T11:00:00+02:00,1.7617,1.7617,1.76075,1.76075
2004-09-14T11:00:00+02:00,1.76075,1.76075,1.74555,1.74555
2004-09-15T11:00:00+02:00,1.74555,1.7472,1.74555,1.7472
