time,open,high,low,close
2002-05-06T11:00:00+02:00,1.5849,1.5849,1.5849,1.5849
2002-05-07T11:00:00+02:00,1.5849,1.58845,1.5849,1.58845
2002-05-08T11:00:00+02:00,1.58845,1.60955,1.58845,1.60955
2002-05-09T11:00:00+02:00,1.60955,1.60955,1.59785,1.59785
2002-05-10T11:00:00+02:00,1.59785,1.59785,1.5912,1.5912
2002-05-13T11:00:00+02:00,1.5912,1.596,1.5912,1.596
2002-05-14T11:00:00+02:00,1.596,1.6145,1.596,1.6145
2002-05-15T11:00:00+02:00,1.6145,1.6145,1.595,1.595
2002-05-16T11:00:00+02:00,1.595,1.5974,1.595,1.5974
2002-05-17T11:00:00+02:00,1.5974,1.5974,1.5803,1.5803
2002-05-20T11:00:00+02:00,1.5811,1.5811,1.5774,1.5774
2002-05-21T11:00:00+02:00,1.5774,1.5774,1.5773,1.5773
2002-05-22T11:00:00+02:00,1.5773,1.5773,1.5693,1.5693
2002-05-23T11:00:00+02:00,1.5693,1.5782,1.5693,1.5782
2002-05-27T11:00:00+02:00,1.5826,1.5826,1.58245,1.58245
2002-05-28T11:00:00+02:00,1.58245,1.58245,1.5739,1.5739
2002-05-29T11:00:00+02:00,1.5739,1.5739,1.5685,1.5685
2002-05-30T11:00:00+02:00,1.5685,1.5685,1.56225,1.56225
2002-05-31T11:00:00+02:00,1.56225,1.568,1.56225,1.568
2002-06-03T11:00:00+02:00,1.5697,1.5697,1.56035,1.56035
2002-06-04T11:00:00+02:00,1.56035,1.5652,1.56035,1.5652
2002-06-05T11:00:00+02:00,1.5652,1.5652,1.5651,1.5651
2002-06-06T11:00:00+02:00,1.5651,1.5651,1.5558,1.5558
2002-06-07T11:00:00+02:00,1.5558,1.5578,1.5558,1.5578
2002-06-10T11:00:00+02:00,1.5584,1.55885,1.5584,1.55885
2002-06-11T11:00:00+02:00,1.55885,1.55885,1.55535,1.55535
2002-06-12T11:00:00+02:00,1.55535,1.56605,1.55535,1.56605
2002-06-13T11:00:00+02:00,1.56605,1.56605,1.56305,1.56305
2002-06-14T11:00:00+02:00,1.56305,1.56305,1.5608,1.5608
2002-06-17T11:00:00+02:00,1.5609,1.56265,1.5609,1.56265
2002-06-18T11:00:00+02:00,1.56265,1.56265,1.55015,1.55015
2002-06-19T11:00:00+02:00,1.55015,1.55015,1.53615,1.53615
2002-06-20T11:00:00+02:00,1.53615,1.53615,1.52385,1.52385
2002-06-21T11:00:00+02:00,1.52385,1.52385,1.5106,1.5106
2002-06-24T11:00:00+02:00,1.5108,1.51215,1.5108,1.51215
2002-06-25T11:00:00+02:00,1.51215,1.51215,1.4986,1.4986
2002-06-26T11:00:00+02:00,1.4986,1.4986,1.49705,1.49705
2002-06-27T11:00:00+02:00,1.49705,1.49705,1.48755,1.48755
2002-06-28T11:00:00+02:00,1.48755,1.48755,1.4807,1.4807
2002-07-01T11:00:00+02:00,1.4814,1.4831,1.4814,1.4831
2002-07-02T11:00:00+02:00,1.4831,1.4868,1.4831,1.4868
2002-07-03T11:00:00+02:00,1.4868,1.4931,1.4868,1.4931
2002-07-04T11:00:00+02:00,1.4931,1.49495,1.4931,1.49495
2002-07-05T11:00:00+02:00,1.49495,1.5077,1.49495,1.5077
2002-07-08T11:00:00+02:00,1.5059,1.5059,1.48375,1.48375
2002-07-09T11:00:00+02:00,1.48375,1.48375,1.4821,1.4821
2002-07-10T11:00:00+02:00,1.4821,1.4872,1.4821,1.4872
2002-07-11T11:00:00+02:00,1.4872,1.4872,1.48275,1.48275
2002-07-12T11:00:00+02:00,1.48275,1.48275,1.4824,1.4824
2002-07-15T11:00:00+02:00,1.4833,1.4833,1.4619,1.4619
2002-07-16T11:00:00+02:00,1.4619,1.4619,1.4494,1.4494
2002-07-17T11:00:00+02:00,1.4494,1.4552,1.4494,1.4552
2002-07-18T11:00:00+02:00,1.4552,1.4552,1.4484,1.4484
2002-07-19T11:00:00+02:00,1.4484,1.4484,1.4423,1.4423
2002-07-22T11:00:00+02:00,1.4419,1.4419,1.4417,1.4417
2002-07-23T11:00:00+02:00,1.4417,1.46925,1.4417,1.46925
2002-07-24T11:00:00+02:00,1.46925,1.46925,1.45845,1.45845
