wick_variant,pair,pivot_type,timeframe,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
INNER_WICK,AUDCAD,long,W,H4,2024-01-29 00:00,2024-02-05 00:00,0.87264,0.877,0.0043600000000000305,0.87264,0.87579,2024-02-08 18:00,2024-02-08 22:00,0.8729,0.87334,0.00043999999999999595,0.10091743119265892,2024-02-12 00:00,False
INNER_WICK,AUDCAD,short,W,H4,2024-02-19 00:00,2024-02-26 00:00,0.88671,0.889,0.0022900000000000142,0.88699,0.889,2024-02-20 10:00,2024-02-20 14:00,0.88867,0.889,0.0003300000000000525,0.1441048034934718,2024-03-04 00:00,False
INNER_WICK,AUDCAD,short,W,H4,2024-02-19 00:00,2024-02-26 00:00,0.88671,0.889,0.0022900000000000142,0.88699,0.889,2024-02-21 02:00,2024-02-21 06:00,0.88767,0.88774,7.00000000000145e-05,0.03056768558952579,2024-03-04 00:00,False
INNER_WICK,AUDCAD,short,W,H4,2024-02-19 00:00,2024-02-26 00:00,0.88671,0.889,0.0022900000000000142,0.88699,0.889,2024-02-23 18:00,2024-02-25 22:00,0.88678,0.88699,0.00020999999999993246,0.09170305676852888,2024-03-04 00:00,False
INNER_WICK,AUDCAD,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,0.89418,0.90074,0.00656000000000001,0.89524,0.90074,2024-04-09 09:00,2024-04-09 13:00,0.90014,0.90074,0.0005999999999999339,0.09146341463413613,2024-04-22 00:00,False
INNER_WICK,AUDCAD,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,0.89418,0.90074,0.00656000000000001,0.89524,0.90074,2024-04-09 17:00,2024-04-09 21:00,0.89964,0.89992,0.000280000000000058,0.04268292682927707,2024-04-22 00:00,False
INNER_WICK,AUDCAD,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,0.89418,0.90074,0.00656000000000001,0.89524,0.90074,2024-04-11 21:00,2024-04-12 01:00,0.89538,0.89554,0.000160000000000049,0.024390243902446453,2024-04-22 00:00,False
INNER_WICK,AUDCAD,short,W,H4,2024-04-29 00:00,2024-05-06 00:00,0.90452,0.90767,0.003149999999999986,0.90598,0.90767,2024-05-06 21:00,2024-05-07 01:00,0.90751,0.90767,0.00015999999999993797,0.05079365079363132,2024-05-13 00:00,False
INNER_WICK,AUDCHF,long,W,H4,2024-01-08 00:00,2024-01-15 00:00,0.56394,0.5701,0.006160000000000054,0.56394,0.56764,2024-01-17 06:00,2024-01-17 10:00,0.56394,0.56421,0.00026999999999999247,0.04383116883116722,2024-01-22 00:00,False
INNER_WICK,AUDCHF,long,W,H4,2024-02-26 00:00,2024-03-04 00:00,0.57041,0.57642,0.006010000000000071,0.57041,0.57374,2024-02-28 18:00,2024-02-28 22:00,0.57041,0.57059,0.000180000000000069,0.02995008319468667,2024-04-15 00:00,False
INNER_WICK,AUDCHF,long,W,H4,2024-02-26 00:00,2024-03-04 00:00,0.57041,0.57642,0.006010000000000071,0.57041,0.57374,2024-02-29 06:00,2024-02-29 10:00,0.57092,0.57093,1.0000000000065512e-05,0.0016638935108261887,2024-04-15 00:00,False
INNER_WICK,AUDCHF,short,W,H4,2024-02-19 00:00,2024-02-26 00:00,0.57833,0.57932,0.0009899999999999354,0.57874,0.57932,2024-02-23 18:00,2024-02-25 22:00,0.57858,0.57874,0.000160000000000049,0.16161616161622167,2024-03-04 00:00,False
INNER_WICK,AUDCHF,short,W,H4,2024-03-04 00:00,2024-03-11 00:00,0.58146,0.58294,0.0014800000000000368,0.58265,0.58294,2024-03-14 05:00,2024-03-14 09:00,0.58272,0.58294,0.00021999999999999797,0.14864864864864358,2024-03-18 00:00,False
INNER_WICK,AUDCHF,short,W,H4,2024-05-13 00:00,2024-05-20 00:00,0.60862,0.60999,0.0013699999999999823,0.60868,0.60999,2024-05-20 01:00,2024-05-20 05:00,0.60998,0.60999,1.0000000000065512e-05,0.0072992700730406136,2024-05-27 00:00,False
INNER_WICK,AUDJPY,long,W,H4,2024-01-08 00:00,2024-01-15 00:00,96.146,96.882,0.7360000000000042,96.146,96.588,2024-01-09 10:00,2024-01-09 14:00,96.146,96.279,0.13299999999999557,0.18070652173912338,2024-01-29 00:00,False
INNER_WICK,AUDJPY,long,W,H4,2024-01-08 00:00,2024-01-15 00:00,96.146,96.882,0.7360000000000042,96.146,96.588,2024-01-16 02:00,2024-01-16 06:00,96.588,96.635,0.047000000000011255,0.06385869565218884,2024-01-29 00:00,False
INNER_WICK,AUDJPY,short,W,H4,2024-01-01 00:00,2024-01-08 00:00,97.14,97.8,0.6599999999999966,97.394,97.8,2024-01-11 02:00,2024-01-11 06:00,97.768,97.8,0.031999999999996476,0.0484848484848434,2024-01-15 00:00,False
INNER_WICK,AUDJPY,short,W,H4,2024-01-01 00:00,2024-01-08 00:00,97.14,97.8,0.6599999999999966,97.394,97.8,2024-01-11 22:00,2024-01-12 02:00,97.416,97.454,0.0379999999999967,0.05757575757575288,2024-01-15 00:00,False
INNER_WICK,AUDJPY,short,W,H4,2024-01-15 00:00,2024-01-22 00:00,97.768,97.884,0.11599999999999966,97.768,97.884,2024-01-23 02:00,2024-01-23 06:00,97.814,97.816,0.0020000000000095497,0.017241379310427202,2024-02-12 00:00,False
INNER_WICK,AUDJPY,short,W,H4,2024-02-19 00:00,2024-02-26 00:00,98.804,99.057,0.2530000000000001,98.834,99.057,2024-02-23 18:00,2024-02-25 22:00,98.829,98.834,0.005000000000009663,0.019762845849840557,2024-03-18 00:00,False
INNER_WICK,AUDJPY,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,99.764,100.811,1.0470000000000113,100.4,100.811,2024-04-09 09:00,2024-04-09 13:00,100.699,100.811,0.11200000000000898,0.10697230181471612,2024-04-15 00:00,False
INNER_WICK,AUDJPY,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,99.764,100.811,1.0470000000000113,100.4,100.811,2024-04-10 05:00,2024-04-10 09:00,100.64,100.645,0.0049999999999954525,0.004775549188152243,2024-04-15 00:00,False
INNER_WICK,AUDNZD,long,W,H4,2024-01-08 00:00,2024-01-15 00:00,1.06912,1.07135,0.0022299999999999542,1.06912,1.0704,2024-01-17 22:00,2024-01-18 02:00,1.06912,1.06948,0.00035999999999991594,0.16143497757844094,2024-01-29 00:00,False
INNER_WICK,AUDNZD,long,W,H4,2024-02-05 00:00,2024-02-12 00:00,1.05865,1.06073,0.0020799999999998597,1.05865,1.05994,2024-02-09 18:00,2024-02-11 22:00,1.05994,1.06033,0.00038999999999989043,0.18749999999995998,2024-02-19 00:00,False
INNER_WICK,AUDNZD,long,W,H4,2024-02-19 00:00,2024-02-26 00:00,1.05699,1.05923,0.0022399999999997977,1.05699,1.05844,2024-02-22 14:00,2024-02-22 18:00,1.05699,1.05732,0.00032999999999994145,0.14732142857141572,,True
INNER_WICK,AUDNZD,long,W,H4,2024-02-19 00:00,2024-02-26 00:00,1.05699,1.05923,0.0022399999999997977,1.05699,1.05844,2024-02-26 14:00,2024-02-26 18:00,1.05844,1.05866,0.00021999999999988695,0.09821428571424412,,True
INNER_WICK,AUDNZD,short,W,H4,2024-01-22 00:00,2024-01-29 00:00,1.0796,1.08332,0.0037200000000001676,1.08118,1.08332,2024-01-22 22:00,2024-01-23 02:00,1.08328,1.08332,4.0000000000040004e-05,0.01075268817205328,2024-03-18 00:00,False
INNER_WICK,AUDNZD,short,W,H4,2024-01-22 00:00,2024-01-29 00:00,1.0796,1.08332,0.0037200000000001676,1.08118,1.08332,2024-01-23 10:00,2024-01-23 14:00,1.08242,1.08269,0.00026999999999999247,0.07258064516128503,2024-03-18 00:00,False
INNER_WICK,AUDNZD,short,W,H4,2024-01-22 00:00,2024-01-29 00:00,1.0796,1.08332,0.0037200000000001676,1.08118,1.08332,2024-01-29 02:00,2024-01-29 06:00,1.08093,1.08118,0.0002500000000000835,0.06720430107528823,2024-03-18 00:00,False
INNER_WICK,AUDNZD,short,W,H4,2024-02-12 00:00,2024-02-19 00:00,1.06658,1.07034,0.0037599999999999856,1.06667,1.07034,2024-02-16 14:00,2024-02-16 18:00,1.06735,1.06794,0.0005899999999998684,0.15691489361698688,2024-02-26 00:00,False
INNER_WICK,AUDNZD,short,W,H4,2024-04-22 00:00,2024-04-29 00:00,1.10002,1.10276,0.0027399999999999647,1.10002,1.10276,2024-05-02 01:00,2024-05-02 05:00,1.10274,1.10276,1.999999999990898e-05,0.007299270072959576,2024-05-06 00:00,False
INNER_WICK,AUDNZD,short,W,H4,2024-04-22 00:00,2024-04-29 00:00,1.10002,1.10276,0.0027399999999999647,1.10002,1.10276,2024-05-02 21:00,2024-05-03 01:00,1.10224,1.10235,0.00010999999999983245,0.04014598540139922,2024-05-06 00:00,False
INNER_WICK,AUDUSD,long,W,H4,2024-01-29 00:00,2024-02-05 00:00,0.64688,0.65126,0.0043799999999999395,0.64688,0.65024,2024-02-05 18:00,2024-02-05 22:00,0.64776,0.64782,5.999999999994898e-05,0.013698630136974843,2024-02-12 00:00,False
INNER_WICK,AUDUSD,long,W,H4,2024-01-29 00:00,2024-02-05 00:00,0.64688,0.65126,0.0043799999999999395,0.64688,0.65024,2024-02-08 10:00,2024-02-08 14:00,0.64804,0.64817,0.0001300000000000745,0.02968036529682107,2024-02-12 00:00,False
INNER_WICK,AUDUSD,long,W,H4,2024-01-29 00:00,2024-02-05 00:00,0.64688,0.65126,0.0043799999999999395,0.64688,0.65024,2024-02-09 02:00,2024-02-09 06:00,0.64902,0.64919,0.00017000000000000348,0.038812785388129184,2024-02-12 00:00,False
INNER_WICK,AUDUSD,long,W,H4,2024-02-26 00:00,2024-03-04 00:00,0.64775,0.65247,0.0047199999999999465,0.64775,0.6487,2024-03-05 06:00,2024-03-05 10:00,0.64775,0.64856,0.0008099999999999774,0.17161016949152258,2024-03-18 00:00,False
INNER_WICK,AUDUSD,long,W,H4,2024-05-06 00:00,2024-05-13 00:00,0.6558,0.66034,0.0045399999999999885,0.6558,0.65794,2024-05-08 09:00,2024-05-08 13:00,0.6558,0.6562,0.00039999999999995595,0.08810572687223722,2024-05-20 00:00,False
INNER_WICK,AUDUSD,long,W,H4,2024-05-06 00:00,2024-05-13 00:00,0.6558,0.66034,0.0045399999999999885,0.6558,0.65794,2024-05-09 05:00,2024-05-09 09:00,0.65654,0.65734,0.0008000000000000229,0.1762114537444989,2024-05-20 00:00,False
