pair,pivot_type,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,pivot_touch_time,ltf,wd_first_time,wd_second_time,wd_low,wd_high,wd_range,wd_pct_of_pivot,htf_wd_low,htf_wd_high,pending_until_pivot_touch
AUDCAD,long,2024-01-01 00:00,2024-02-01 00:00,0.87264,0.88227,0.009630000000000027,2024-03-01 00:00,3D,2024-02-07 00:00,2024-02-12 00:00,0.87264,0.87374,0.0010999999999999899,0.11422637590861752,0.87264,0.88014,False
AUDNZD,long,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,,3D,2024-02-20 00:00,2024-02-23 00:00,1.05699,1.05791,0.0009199999999998099,0.08820709491848659,1.05699,1.06638,True
AUDUSD,short,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,2024-05-01 00:00,3D,2024-04-05 00:00,2024-04-10 00:00,0.66314,0.66444,0.0013000000000000789,0.08569545154911519,0.66444,0.66677,False
CADCHF,short,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,,3D,2024-05-22 00:00,2024-05-27 00:00,0.67002,0.6706,0.0005800000000000249,0.11983471074380792,0.6706,0.67216,True
EURCAD,short,2024-02-01 00:00,2024-03-01 00:00,1.46723,1.47802,0.010789999999999855,2024-04-01 00:00,3D,2024-03-15 00:00,2024-03-20 00:00,1.47651,1.47796,0.0014499999999999513,0.13438368860055336,1.47481,1.47802,False
EURCHF,short,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,,3D,2024-05-22 00:00,2024-05-27 00:00,0.99292,0.99302,9.999999999998899e-05,0.00809716599190196,0.98486,0.99302,True
GBPCAD,long,2024-03-01 00:00,2024-04-01 00:00,1.68874,1.70952,0.02078000000000002,2024-05-01 00:00,3D,2024-04-18 00:00,2024-04-23 00:00,1.68874,1.69019,0.0014500000000001734,0.06977863330125948,1.68874,1.70702,False
GBPCAD,short,2024-02-01 00:00,2024-03-01 00:00,1.71433,1.73526,0.020930000000000115,2024-04-01 00:00,3D,2024-03-15 00:00,2024-03-20 00:00,1.72809,1.72913,0.001040000000000152,0.049689440993795804,1.72204,1.73526,False
NZDCAD,long,2024-03-01 00:00,2024-04-01 00:00,0.80665,0.81015,0.0035000000000000586,2024-05-01 00:00,3D,2024-03-28 00:00,2024-04-02 00:00,0.80665,0.80709,0.00043999999999999595,0.12571428571428245,0.80665,0.80823,False
NZDCAD,short,2024-02-01 00:00,2024-03-01 00:00,0.82645,0.8378,0.011349999999999971,2024-05-01 00:00,3D,2024-02-20 00:00,2024-02-23 00:00,0.83747,0.8378,0.00032999999999994145,0.029074889867836323,0.83472,0.8378,False
NZDCAD,short,2024-02-01 00:00,2024-03-01 00:00,0.82645,0.8378,0.011349999999999971,2024-05-01 00:00,3D,2024-03-07 00:00,2024-03-12 00:00,0.83327,0.83472,0.0014500000000000624,0.12775330396476353,0.83472,0.8378,False
NZDJPY,short,2024-02-01 00:00,2024-03-01 00:00,91.29,93.454,2.1639999999999873,2024-04-01 00:00,3D,2024-02-20 00:00,2024-02-23 00:00,93.37,93.454,0.08399999999998897,0.03881700554528164,92.204,93.454,False
USDCAD,short,2024-02-01 00:00,2024-03-01 00:00,1.35802,1.36144,0.0034199999999999786,2024-04-01 00:00,3D,2024-03-20 00:00,2024-03-25 00:00,1.36142,1.36144,1.999999999990898e-05,0.005847953216347691,1.36061,1.36144,False
